,车辆id,充电需求产生的时间,充电需求产生的地址,预估充电时长,车辆剩余行驶里程
92,92,6.969492455336469,[39 14],1.5787329201332654,236.87784664445576
93,93,7.154187520742432,[ 5 41],1.419303968805482,263.44933853241963
94,94,8.974727118412641,[40 90],1.951274708664347,174.78754855594218
95,95,8.357827090434707,[41  7],2.4206302898385963,96.56161836023395
96,96,7.368976714652761,[37 24],0.5776921443663864,403.7179759389356
97,97,8.086525923521853,[25 61],2.2915808149864914,118.06986416891812
98,98,9.906858607121388,[13  0],0.6697987875695368,388.3668687384105
99,99,9.1103485741246,[38 53],1.584098191901957,235.98363468300718
100,100,5.086190172420417,[ 8 83],1.5990723711671775,233.48793813880374
101,101,7.893531948392747,[49  2],1.0485252336983826,325.2457943836029
102,102,7.836381862202029,[41 22],1.0229570496813858,329.50715838643566
103,103,8.58078446215635,[18 60],1.8905759741042387,184.9040043159602
104,104,8.718287881040876,[43 27],1.1131748794378051,314.47085342703247
105,105,6.3785043756538204,[57 97],2.0666886998683323,155.55188335527794
106,106,8.676321702698305,[43 50],1.7713364969819967,204.77725050300054
107,107,8.661102727182639,[57 49],2.4034143459538058,99.43094234103238
108,108,9.603347655177137,[16 91],1.4333502006533394,261.1082998911101
109,109,9.324644760948155,[74 33],1.0642935936780031,322.6177343869995
110,110,8.062992906749292,[66 31],2.112927813524726,147.8453644125457
111,111,8.20115839501001,[46 14],1.3987646376381613,266.8725603936398
112,112,7.25240672827816,[89 83],2.1371921550655,143.80130748908329
113,113,8.99838378262699,[40 32],2.1951698738311376,134.13835436147707
114,114,7.161155733912773,[56 63],2.2700536713797614,121.65772143670642
115,115,5.491959417716576,[31  1],0.8702398471409187,354.9600254765135
116,116,8.594364199359172,[97 41],0.18260957272803813,469.56507121199365
117,117,6.64637878676757,[44 94],1.591019010235366,234.83016496077232
118,118,6.4626971604860675,[10 67],1.9288725893929932,178.5212351011678
119,119,6.097000658326461,[87  7],2.2117702645605726,131.3716225732379
120,120,8.957404549593296,[59 49],1.199431020560675,300.0948299065542
121,121,8.768897349644979,[27  2],1.0779946361054704,320.33422731575496
122,122,9.392708182589374,[ 5 34],1.934824572303671,177.52923794938815
123,123,8.656973977277778,[68 23],1.509180154132547,248.46997431124217
124,124,6.482928703056013,[98 58],2.2675400793865834,122.07665343556944
125,125,8.051364110202519,[63 74],1.1281100875553096,311.98165207411506
126,126,6.693034919961095,[55 73],1.9727771401390253,171.20380997682912
127,127,7.489684246630123,[93 97],1.2902636123450277,284.95606460916207
128,128,8.84757103743459,[46 35],1.4946594409165883,250.89009318056858
129,129,8.137533749551773,[65 98],1.051139986468301,324.81000225528317
130,130,8.810134876255555,[45 51],0.8140166695241509,364.33055507930817
131,131,8.930710210123216,[70 60],2.683909239598794,52.681793400200995
132,132,6.459523802348434,[68 39],1.6519462890332113,224.6756184944648
133,133,6.976392601723619,[19 82],1.7802980670588828,203.2836554901862
134,134,8.109879718330667,[34 61],2.1810752894007024,136.4874517665496
135,135,8.64377526321459,[20 89],2.3679727727007442,105.33787121654262
136,136,6.776782036185313,[19 62],0.6301138746082651,394.9810208986225
137,137,7.92993481604801,[17 64],1.3182382283403151,280.2936286099475
138,138,7.999095128832443,[32  0],1.2526591245606062,291.22347923989895
139,139,8.670062796152333,[33 73],1.7361400311853417,210.6433281357764
140,140,7.0334083311502145,[12 85],1.4312791785062207,261.4534702489632
141,141,9.655537763343224,[42 14],1.611567776865764,231.40537052237266
142,142,8.898132703386695,[37 90],1.4414515844151017,259.75806926414975
143,143,8.300392507478279,[41 23],1.1011743038522899,316.47094935795167
144,144,6.723026773069524,[19 66],1.2731603282246844,287.8066119625526
145,145,9.79171340739856,[69 12],1.5736779699107994,237.72033834820007
146,146,6.492642563143063,[21 44],1.971856253619436,171.35729106342734
147,147,8.172383943985771,[64 93],1.0955313455722777,317.4114424046204
148,148,9.881101262606792,[90 11],2.1948352559199695,134.1941240133384
149,149,7.751999295857262,[68 41],1.5173309045649654,247.1115159058391
150,150,9.812217420830525,[40 65],1.6246165528742167,229.23057452096387
151,151,8.008038379546555,[11 71],1.7134893388043235,214.41844353261274
152,152,6.704302850645416,[85 33],1.0598206079100514,323.36323201499147
153,153,9.485372316524309,[11 64],1.1604154194514384,306.59743009142693
154,154,7.980091755830315,[41  8],0.9258580167713593,345.69033053810676
155,155,8.78751797861357,[14 48],0.9924842898909153,334.58595168484743
156,156,8.982846857142581,[86 84],1.793218995271296,201.130167454784
157,157,9.824456939571576,[17 56],1.0004915377410821,333.2514103764863
158,158,9.282863002204264,[42  7],1.2714655764537115,288.0890705910481
159,159,6.346639869078226,[18 56],1.1493542855293555,308.4409524117741
160,160,8.848924290037557,[87 12],1.5444936548103765,242.58439086493723
161,161,6.9184989348753545,[19  2],2.0569167482294244,157.1805419617626
162,162,5.923284542084664,[56 61],2.096449007384991,150.59183210250148
163,163,9.11737775386653,[15 62],1.3493611344824512,275.1064775862581
164,164,7.316231158282822,[39 20],2.69751769957983,50.413716736695
165,165,7.434592690244712,[59 68],1.5802679856273922,236.62200239543463
166,166,8.521455181906628,[56 61],1.7164666121575434,213.92223130707612
167,167,9.117849647009155,[37 21],1.3963567050896537,267.27388248505775
168,168,5.609841298375193,[38 13],1.4302198776373531,261.6300203937745
169,169,6.070345695239929,[90  8],2.6522259520409324,57.96234132651127
170,170,7.941486649820829,[91 21],1.851130565575606,191.47823907073234
171,171,9.93666443892957,[45 19],1.7135166300230962,214.41389499615062
172,172,7.819925399248683,[68 17],0.9033232495903545,349.4461250682743
173,173,9.535062531209366,[43  4],1.6651840051248488,222.46933247919188
174,174,9.815725693988512,[39 97],1.318596455611332,280.23392406477797
175,175,9.98789538338944,[87 12],0.9745537715057673,337.5743714157055
176,176,8.805655086836177,[18 69],2.17972421597982,136.71263067003
177,177,8.604840867569507,[25 67],1.3001988260199036,283.3001956633494
178,178,8.952170169583736,[52 79],0.22706148229974632,462.15641961670894
179,179,9.461874011910272,[70 39],1.361743016677005,273.0428305538325
180,180,9.615646626474932,[46 27],0.26668462407466387,455.5525626542227
181,181,9.925513654871684,[70 28],1.199672109776453,300.05464837059117
182,182,8.1355232433491,[ 2 38],0.8691760878192656,355.13731869678907
183,183,8.835951795736724,[56 53],1.867157547554324,188.80707540761264
184,184,9.87441818640437,[44 16],1.8532927362726301,191.11787728789497
185,185,7.732820502495505,[11 63],0.7743643724872962,370.9392712521173
186,186,7.129542144478878,[51 73],2.460328786858608,89.94520219023198
187,187,9.778404006379503,[66 65],1.3291535016218436,278.4744163963594
188,188,9.542365273800892,[47 79],1.7244689013428096,212.58851644286506
189,189,8.00213993016709,[88 23],0.9643845633484681,339.26923944192197
190,190,7.472095059248682,[87 79],2.6173802267656745,63.769962205720915
191,191,7.509406256199925,[47 74],1.746123118089443,208.97948031842617
192,192,8.433906281642942,[96 71],1.7921992292182132,201.30012846363113
193,193,9.164912653730651,[95 57],1.541601592375688,243.06640127071864
194,194,9.100010419036476,[45 12],1.3809033557528994,269.84944070785014
195,195,9.784546901210184,[19  1],1.0799304742065394,320.0115876322434
196,196,9.426505149023065,[33 77],1.2989619530687608,283.5063411552065
197,197,9.82739999431474,[42 97],1.7112384718770617,214.79358802048972
198,198,7.500603518214765,[34 68],1.3943665700093921,267.6055716651013
199,199,6.856907741990435,[69 27],2.0526474987415906,157.89208354306825
200,200,7.398020099042014,[66 83],1.8608783409462017,189.8536098422997
201,201,5.691758716852825,[52 73],1.3544077177782046,274.2653803702992
202,202,8.023160425284502,[98 93],1.9378314375303134,177.02809374494777
203,203,8.248750109061719,[90  5],1.0839109030956782,319.348182817387
204,204,9.428326309604966,[44 54],1.5210211862255125,246.49646896241458
205,205,8.507581411490817,[69  4],1.8613368523514844,189.7771912747526
206,206,9.097423155997728,[44 88],1.9061654306773352,182.30576155377744
207,207,7.424331542114393,[90  5],1.3614617774024573,273.0897037662571
208,208,8.54825281558391,[41 90],1.5130101619142218,247.83163968096304
209,209,8.097703039564166,[60 65],1.7948649903876004,200.85583493539994
210,210,6.322263084493137,[83 59],1.426010144840369,262.3316425266052
211,211,9.484625566137428,[62 74],2.247032528633385,125.4945785611025
212,212,9.753387066345317,[64 38],1.4132428065640965,264.45953223931724
213,213,7.625606349797083,[58 95],1.1168651417578928,313.8558097070179
214,214,8.422751166592883,[34 83],0.7228806601232929,379.5198899794512
215,215,7.700476623877185,[82  2],1.0789526451954619,320.1745591340897
216,216,7.143337233740677,[15 52],1.4762968569307289,253.95052384487855
217,217,9.53861286139816,[41 89],1.3863957948311596,268.9340341948067
218,218,9.14928507862698,[36 71],2.770465818926116,38.255696845647336
219,219,8.119583252523729,[94 63],0.8292272612952443,361.7954564507926
220,220,8.594063923255158,[38 95],0.8464666579456565,358.9222236757239
221,221,8.065527022626958,[29 98],1.9317344352855277,178.0442607857454
222,222,8.722678225229169,[50 75],1.270648751414838,288.225208097527
223,223,8.060271999952937,[21 69],1.2869993735322627,285.50010441128956
224,224,7.540597799728831,[81 58],1.5521163545046088,241.31394091589854
225,225,9.610756263609622,[42 47],0.5114924318935641,414.7512613510726
226,226,8.375283635328609,[63 72],1.5016943320077922,249.71761133203464
227,227,9.683066769067052,[43 49],1.2919888502612162,284.66852495646395
228,228,8.427364633243602,[45 92],1.8648827197272857,189.1862133787857
229,229,5.754550154222864,[44 91],1.6998654516689427,216.68909138850955
230,230,6.906061705578601,[84 33],2.14365717777114,142.72380370480997
231,231,9.953028166993954,[90 98],1.6802399244030874,219.96001259948542
232,232,8.499961781480234,[16 38],1.1618890716384993,306.35182139358346
233,233,9.003481801599857,[46 17],0.8739007574053943,354.3498737657676
234,234,8.140013950334831,[40 97],1.7726604313472323,204.5565947754613
235,235,9.5896530462993,[28 74],1.749926390067567,208.3456016554055
236,236,8.225856940404832,[32 83],1.6229906989138791,229.50155018102015
237,237,8.624624831524834,[40  8],2.193419118220003,134.43014696333282
238,238,8.515069978547524,[36 69],1.6492860088645926,225.1189985225679
239,239,9.636921543103815,[90 25],1.3788849487591772,270.18584187347045
240,240,9.76226443400719,[74 33],2.6993064692090547,50.11558846515755
241,241,5.5649869010025705,[ 5 82],1.2326569746681288,294.5571708886452
242,242,8.012155692320317,[19 52],1.4079160171698581,265.34733047169027
243,243,8.90169875546692,[13 87],2.00721716920163,165.4638051330617
244,244,6.187013222824289,[16 49],1.4476903595807642,258.71827340320596
245,245,9.378236350180421,[84  1],1.297953550249355,283.67440829177417
246,246,9.493739999275306,[58 55],2.0406016560747897,159.89972398753505
247,247,9.300128797457774,[68 21],2.183630019523327,136.06166341277884
248,248,8.20391549134499,[94 62],2.0120846521597167,164.65255797338054
249,249,9.802070052881994,[36 68],1.6080823086052272,231.9862818991288
250,250,7.370221018499686,[35 75],1.6668043976112836,222.19926706478608
251,251,7.814238467813673,[27 65],1.111694475899436,314.717587350094
252,252,5.17744562202182,[45 16],1.308551467694953,281.90808871750784
253,253,9.689700405767052,[17 82],1.2947662627583385,284.20562287361025
254,254,9.7399503654712,[12 64],0.5981756038704971,400.3040660215838
255,255,7.54009279689429,[ 3 32],2.577840789651518,70.35986839141366
256,256,8.3602191080211,[46  5],2.0090026061133943,165.16623231443427
257,257,7.263529345984182,[ 5 35],1.9554729110151372,174.0878481641438
258,258,8.97071760857093,[46 94],1.3710868128300113,271.48553119499815
259,259,7.243114167470155,[86 75],1.7015127373592533,216.41454377345778
260,260,8.989247470460663,[87 24],1.6746911288531323,220.8848118578113
261,261,6.931376623957997,[86 24],2.420693414816731,96.55109753054481
262,262,8.17855219893608,[40 48],2.807811888794605,32.03135186756582
263,263,8.672949052804046,[97 64],0.8676334620779399,355.39442298701
264,264,9.906292293969875,[ 7 69],0.9464928290245302,342.25119516257837
265,265,7.630287643190166,[ 7 83],1.4696613883486824,255.0564352752196
266,266,8.113986649460182,[ 6 94],1.9948279129160258,167.52868118066235
267,267,9.076733199606133,[37 55],1.683243565693293,219.45940571778453
268,268,8.735167449797196,[47 76],1.1832309281633369,302.7948453061105
269,269,8.986847717010907,[ 2 76],0.8714414007914721,354.75976653475465
270,270,6.6099673187394785,[43 19],1.1425689652736906,309.5718391210516
271,271,8.269359239675365,[94 70],1.6466178563400868,225.5636906099855
272,272,8.854800801334004,[58 61],1.9045921251704123,182.5679791382646
273,273,9.76423400729376,[59 70],1.5626929616533993,239.55117305776676
274,274,8.18316481637401,[54  0],1.4558589438856897,257.3568426857184
275,275,6.35171196592324,[32 68],0.5890106809879496,401.8315531686751
276,276,7.851590523349632,[10 86],1.6520904891829615,224.65158513617308
277,277,6.556769917056628,[16 89],1.3226067768207885,279.5655371965353
278,278,5.626510701609582,[41 30],1.5421549800884258,242.97416998526236
279,279,7.980243997665966,[18 51],1.1643592756504362,305.94012072492734
280,280,9.841002880677763,[45 29],0.7298533811744475,378.3577698042588
281,281,6.120754099976782,[39 62],1.527343161067524,245.442806488746
282,282,8.0798541026188,[33 79],1.2143392390307524,297.6101268282079
283,283,8.779660584107194,[10 66],1.8993901285927874,183.43497856786874
284,284,8.294114906245154,[42 71],0.9418857012788542,343.01904978685764
285,285,7.735179581636423,[59 71],1.3357965565764853,277.36724057058575
286,286,9.273913955266833,[37 54],1.7482034123285215,208.63276461191307
287,287,7.587561668919236,[65 71],1.5997368717288176,233.37718804519704
288,288,7.37736343941748,[39 55],2.0573664987058775,157.1055835490204
289,289,9.599475785373846,[41 64],2.3171623195035402,113.8062800827433
290,290,9.202985640829576,[53 73],0.9987856350879005,333.5357274853499
291,291,8.368739705002126,[ 2 74],1.0260575718764073,328.9904046872654
292,292,7.135329422386269,[88  5],1.0978334951953022,317.027750800783
293,293,8.42428923582309,[38 26],0.8669507724107568,355.5082045982072
294,294,9.230149292896208,[45 31],0.8657554900997146,355.7074183167142
295,295,8.499937038476185,[89 26],1.3608330645769873,273.1944892371688
296,296,9.154101148902999,[32 62],0.7401277444125791,376.64537593123686
297,297,9.792044317059773,[45 92],1.24498015120536,292.50330813244
298,298,9.397479771304399,[36  1],1.8800265207274007,186.6622465454332
299,299,9.272036266889625,[72 58],1.758327066483639,206.94548891939348
300,300,6.313740713552562,[10 69],1.6965575751710635,217.24040413815607
301,301,8.657098228901749,[22 83],2.423676229223899,96.05396179601685
302,302,7.8417704240212105,[90 24],1.4700121416138037,254.99797639769938
303,303,7.730402216121817,[ 6 42],1.745176895447541,209.1371840920765
304,304,9.562296358254905,[ 2 74],1.9301722682136704,178.30462196438825
305,305,8.626842836265828,[69 25],1.6930093503343653,217.83177494427244
306,306,7.795155728856041,[38 88],1.993723612475009,167.71273125416516
307,307,6.989005667646383,[76 58],1.888152058741876,185.30799020968732
308,308,8.721744015483768,[44 55],1.2245215304795685,295.9130782534052
309,309,7.423282957791211,[61 96],1.1631322208255552,306.1446298624075
310,310,8.370507597192955,[90  3],0.87820930033402,353.6317832776634
311,311,6.176172970141156,[ 9 44],1.9091010244970583,181.81649591715694
312,312,8.60601736628698,[34 73],1.968301038328812,171.949826945198
313,313,7.903683639315817,[90 99],2.062879113776912,156.18681437051467
314,314,7.088066907139989,[38 91],1.9782890271961358,170.28516213397737
315,315,9.479793028454171,[62 93],1.6811630867368241,219.80615221052932
316,316,8.701423843330929,[59 54],0.6268845512121496,395.5192414646417
317,317,9.568293537626811,[11 87],2.1791241453006087,136.81264244989853
318,318,8.326032033813048,[96 40],2.2541748751459174,124.30418747568044
319,319,9.432706799382139,[83  1],0.3410575941647047,443.1570676392159
320,320,8.78822460927021,[92 57],0.7134859620645327,381.08567298924453
321,321,5.178565054521505,[31 77],1.1477591878653786,308.7068020224369
322,322,8.82880621948836,[58 94],1.2650815497710088,289.1530750381652
323,323,7.344747072782104,[57 97],1.3498973478253458,275.01710869577573
324,324,7.443691377905195,[40 85],0.9284841684252161,345.2526385957973
325,325,6.852217080676805,[37  5],0.5721437345475024,404.64271090874956
326,326,9.954985365419587,[38 29],1.3351818578466446,277.4696903588926
327,327,7.146676787774841,[37 18],0.3636737966457113,439.3877005590481
328,328,7.478563729386746,[85  1],1.0461720545440578,325.6379909093237
329,329,8.253598692695071,[69 24],1.6427270877591682,226.21215204013865
330,330,7.793795700116896,[26  2],2.0535407375668457,157.74321040552573
331,331,5.797795342900129,[88 24],1.626109596666789,228.98173388886852
332,332,8.487147110446006,[66 31],2.108487184385123,148.5854692691462
333,333,9.590062154968091,[13 89],2.0949579732646817,150.84033778921972
334,334,7.3251935614338715,[16  0],2.1758236040118315,137.36273266469476
335,335,5.61718791538539,[94 68],1.2701006223839377,288.31656293601037
336,336,8.065625826011544,[16 86],1.8008210733238679,199.863154446022
337,337,8.0697666228254,[ 7 86],0.8646072964856786,355.8987839190535
338,338,8.295811151684907,[94 82],2.1217892836474816,146.36845272541973
339,339,7.040633791954825,[16 54],2.0836375093657535,152.7270817723744
340,340,8.50109489114731,[88  3],1.485707459068116,252.382090155314
341,341,7.988540285289782,[90 85],1.3875511671737133,268.7414721377144
342,342,9.992291335927426,[69 16],1.0589832396005279,323.502793399912
343,343,8.633215951742137,[22 83],1.675295263035589,220.7841228274018
344,344,8.512788666867996,[12 87],1.0193404027557529,330.1099328740412
345,345,8.51728163888571,[98 59],0.8770183097129265,353.83028171451224
346,346,7.897892375954354,[37 90],1.6307995002632858,228.20008328945238
347,347,9.719649095626341,[58 50],1.2338036866240356,294.36605222932735
348,348,7.992260971813756,[39 63],1.9485079608813103,175.2486731864483
349,349,9.696973357873564,[90 11],1.210262293896584,298.2896176839027
350,350,6.870582358667132,[41 23],2.8307979568708213,28.200340521529792
351,351,9.19850470595825,[67  0],1.6220051909256448,229.66580151239253
352,352,9.92316776467931,[85  0],2.0755829430145547,154.06950949757422
353,353,5.071799865475736,[41  3],1.6364302160689814,227.26163065516977
354,354,6.787439201126359,[15 47],1.3872611304106017,268.7898115982331
355,355,8.617055590948354,[53 78],1.7912779633494638,201.4536727750894
356,356,9.822822793463741,[69 22],1.362993363096998,272.8344394838337
357,357,8.701159768812667,[12 40],1.0386852059102392,326.8857990149601
358,358,8.169410892918329,[17 68],1.6691641385331062,221.80597691114897
359,359,8.039134873437561,[85 59],2.800302243956197,33.28295934063385
360,360,8.80862187126608,[94 96],1.5757367586649147,237.37720688918088
361,361,7.943865186852958,[91 28],1.904522851439656,182.57952476005735
362,362,7.579578149461382,[78  1],1.1412055001144237,309.7990833142627
363,363,9.306785358546772,[40 61],2.00127967574784,166.45338737535997
364,364,6.650996453100901,[14 88],1.4722007561283112,254.6332073119481
365,365,7.0968588458417186,[38 92],1.291600845227053,284.73319246215783
366,366,6.317900657210983,[92 41],1.3859861321766067,269.0023113038989
367,367,7.8236941972814495,[86 17],1.4043884642132134,265.93525596446443
368,368,9.85457771878627,[40 15],1.456305918337955,257.2823469436742
369,369,8.322562496884165,[64 94],1.2233448266246099,296.10919556256505
370,370,7.409186108718224,[16 89],1.023682013293355,329.38633111777415
371,371,7.296563270217652,[43 23],1.0664747672960644,322.25420545065595
372,372,7.757548655858627,[89 99],1.5645550613967114,239.24082310054808
373,373,7.268750164632527,[42 46],1.9053697947567128,182.4383675405479
374,374,6.714078803248904,[17 63],1.5324399562373887,244.5933406271019
375,375,9.422243098146604,[32 66],0.6660287582189578,388.99520696350703
376,376,8.619566947376713,[42 14],1.866259527013246,188.95674549779233
377,377,9.886884282890332,[94 66],0.7364409393328549,377.25984344452417
378,378,8.075396459917101,[41 14],1.6368405406008535,227.19324323319108
379,379,9.478091718437302,[13 41],1.6051250668860266,232.47915551899555
380,380,5.786434175340844,[14 49],1.580240883204736,236.62651946587732
381,381,8.653140250844013,[68 10],1.5922255416174813,234.62907639708644
382,382,7.880323575582474,[30 83],0.9621824052383631,339.6362657936061
383,383,6.065193236227731,[72 33],1.6945820243838765,217.56966260268726
384,384,8.465769188450702,[36 79],1.057824701013588,323.695883164402
385,385,9.618660810356104,[42 61],1.4294985113151157,261.7502481141474
386,386,7.912569547044304,[63 79],1.3943455550457426,267.6090741590429
387,387,7.607058169297322,[51 75],1.1072243701404771,315.4626049765871
388,388,9.440868039795681,[31 74],1.6894172165230326,218.43046391282792
389,389,7.662498319686058,[46 37],1.393363044553798,267.77282590770034
390,390,8.897090614904098,[33  0],1.9468219387465935,175.52967687556776
391,391,8.445997819540903,[58 62],1.5606171580527024,239.89714032454958
392,392,9.712183793915928,[58 96],1.6082437224541453,231.9593795909758
393,393,9.265489632937797,[20 66],1.6797554944439321,220.0407509260113
394,394,7.648635714099044,[99 30],1.600887047995026,233.18549200082902
395,395,7.164628862628325,[ 8 45],0.412258014170072,431.2903309716547
396,396,7.35411247000361,[40 37],1.1952243846316406,300.7959358947266
397,397,8.876640725251757,[10 62],1.7337560706194115,211.04065489676475
398,398,5.936651020701425,[31 72],1.7196976240268949,213.38372932885085
399,399,9.73362873599824,[28 63],1.9833681065652982,169.43864890578365
400,400,7.888989921080887,[44 67],1.7611292315331621,206.47846141113965
401,401,9.79198300417988,[11 82],1.6522285360261895,224.62857732896842
402,402,7.803248063030203,[68 21],1.4913297004355845,251.44504992740258
403,403,8.716122698843748,[89 17],0.8613945241498526,356.43424597502457
404,404,6.9399339498920485,[ 2 85],2.180005268132848,136.66578864452535
405,405,7.887616907946844,[64 39],0.6007766027751822,399.87056620413625
406,406,7.543924313809404,[60 85],0.9198248728541836,346.69585452430266
407,407,7.667320973730573,[40  9],1.0600146168668476,323.3308971888587
408,408,9.74188362617866,[20 87],1.5872847045820486,235.4525492363252
409,409,7.753271355615387,[84 59],2.0724222948205666,154.59628419657224
